index,category,series,title,sku,image_count,source_document,folder
55,防电弧服,1级防电弧服标品款,1级防电弧服（衬衫款）,HYF-3801,2,产品册——防电弧服（最终版）.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\防电弧服\1级防电弧服标品款\001_1级防电弧服（衬衫款）_HYF-3801
56,防电弧服,1级防电弧服标品款,1级防电弧服（夹克款）,HYF-3802,3,产品册——防电弧服（最终版）.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\防电弧服\1级防电弧服标品款\002_1级防电弧服（夹克款）_HYF-3802
57,防电弧服,2级防电弧服标品款,2级防电弧服（夹克款）,HYF-3853,5,产品册——防电弧服（最终版）.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\防电弧服\2级防电弧服标品款\003_2级防电弧服（夹克款）_HYF-3853
58,防电弧服,2级防电弧服标品款,2级防电弧服（大褂款）,HYF-3809,2,产品册——防电弧服（最终版）.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\防电弧服\2级防电弧服标品款\004_2级防电弧服（大褂款）_HYF-3809
59,防电弧服,3级防电弧服标品款,3级防电弧服（夹克款）34cal,HYF-3819,5,产品册——防电弧服（最终版）.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\防电弧服\3级防电弧服标品款\005_3级防电弧服（夹克款）34cal_HYF-3819
60,防电弧服,3级防电弧服标品款,3级防电弧服（大褂、背带裤款）34cal,HYF-3821/HYF-3856,6,产品册——防电弧服（最终版）.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\防电弧服\3级防电弧服标品款\006_3级防电弧服（大褂、背带裤款）34cal_HYF-3821-HYF-3856
61,防电弧服,4级防电弧服标品款,4级防电弧服（夹克款）41cal,HYF-3826,5,产品册——防电弧服（最终版）.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\防电弧服\4级防电弧服标品款\007_4级防电弧服（夹克款）41cal_HYF-3826
62,防电弧服,4级防电弧服标品款,4级防电弧服（大褂、背带裤款）41cal,HYF-3827/HYF-3828,6,产品册——防电弧服（最终版）.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\防电弧服\4级防电弧服标品款\008_4级防电弧服（大褂、背带裤款）41cal_HYF-3827-HYF-3828
63,防电弧服,定制款,4级防电弧服（大褂、背带裤款）80cal,HYF-3841/HYF-3842,7,产品册——防电弧服（最终版）.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\防电弧服\定制款\009_4级防电弧服（大褂、背带裤款）80cal_HYF-3841-HYF-3842
64,防电弧服,定制款,250g 16CAL橙色防电弧大褂,HYF-3893,2,产品册——防电弧服（最终版）.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\防电弧服\定制款\010_250g 16CAL橙色防电弧大褂_HYF-3893
65,洁净服,主推产品册模版：,连帽洁净大褂,HYF-6A06,6,产品册模版-洁净服4.10.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\洁净服\主推产品册模版：\001_连帽洁净大褂_HYF-6A06
66,洁净服,未分组,三连 体插肩袖洁净服,HYF-6A06,4,产品册模版-洁净服4.10.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\洁净服\未分组\002_三连 体插肩袖洁净服_HYF-6A06
67,洁净服,未分组,生物制药分体洁净服,HYF-6A45,3,产品册模版-洁净服4.10.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\洁净服\未分组\003_生物制药分体洁净服_HYF-6A45
68,洁净服,未分组,生物制药用三连体洁净服,HYF-6A27,1,产品册模版-洁净服4.10.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\洁净服\未分组\004_生物制药用三连体洁净服_HYF-6A27
69,洁净服,未分组,一次性工业防护服,HYF-6811,1,产品册模版-洁净服4.10.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\洁净服\未分组\005_一次性工业防护服_HYF-6811
